,Level,Proficiency Bonus,Features,Cantrips Known,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Features Texts,Capacites,Capacites Texts
10,6,3,Druid Circle Feature,3,4,3,3,—,—,—,—,—,—,Subclass Feature.,Fonctionnalité du Cercle des Druides,Fonctionnalité de sous-classe.
11,7,3,—,3,4,3,3,1,—,—,—,—,—,,,
12,8,3,Wild Shape Improvement,3,4,3,3,2,—,—,—,—,—,"At 4th level, you can use your action to magically assume the shape of a beast that you have seen before of challenge rating 1/2 or lower that doesn't have a flying speed. You can use this feature twice. You regain expended uses when you finish a short or long rest.At 8th level, you can use your action to magically assume the shape of a beast that you have seen before of challenge rating 1 or lower. You can use this feature twice. You regain expended uses when you finish a short or long rest.",Amélioration de la forme sauvage,"Au niveau 4, vous pouvez utiliser votre action pour prendre par magie la forme d'une bête que vous avez déjà vue et dont le niveau de difficulté est de 1/2 ou moins et qui n'a pas de vitesse de vol. Vous pouvez utiliser cette capacité deux fois. Vous récupérez les utilisations dépensées lorsque vous terminez un repos court ou long.Au niveau 8, vous pouvez utiliser votre action pour prendre par magie la forme d'une bête que vous avez déjà vue et dont le niveau de difficulté est de 1 ou moins. Vous pouvez utiliser cette capacité deux fois. Vous récupérez les utilisations dépensées lorsque vous terminez un repos court ou long."
13,8,3,Ability Score Improvement,3,4,3,3,2,—,—,—,—,—,"When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can’t increase an ability score above 20 using this feature.Using the optional feats rule, you can forgo taking this feature to take a feat of your choice instead.",Amélioration du score de capacité,"Lorsque vous atteignez le niveau 4, puis à nouveau aux niveaux 8, 12, 16 et 19, vous pouvez augmenter une valeur de caractéristique de votre choix de 2, ou vous pouvez augmenter deux valeurs de caractéristique de votre choix de 1. Comme d'habitude, vous ne pouvez pas augmenter une valeur de caractéristique au-dessus de 20 en utilisant cette fonctionnalité. En utilisant la règle des dons facultatifs, vous pouvez renoncer à prendre cette fonctionnalité pour prendre un don de votre choix à la place."
14,9,4,—,3,4,3,3,3,1,—,—,—,—,,,
15,10,4,Druid Circle Feature,4,4,3,3,3,2,—,—,—,—,Subclass Feature.,Fonctionnalité du Cercle des Druides,Fonctionnalité de sous-classe.
16,11,4,—,4,4,3,3,3,2,1,—,—,—,,,
17,12,4,Ability Score Improvement,4,4,3,3,3,2,1,—,—,—,"When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can’t increase an ability score above 20 using this feature.Using the optional feats rule, you can forgo taking this feature to take a feat of your choice instead.",Amélioration du score de capacité,"Lorsque vous atteignez le niveau 4, puis à nouveau aux niveaux 8, 12, 16 et 19, vous pouvez augmenter une valeur de caractéristique de votre choix de 2, ou vous pouvez augmenter deux valeurs de caractéristique de votre choix de 1. Comme d'habitude, vous ne pouvez pas augmenter une valeur de caractéristique au-dessus de 20 en utilisant cette fonctionnalité. En utilisant la règle des dons facultatifs, vous pouvez renoncer à prendre cette fonctionnalité pour prendre un don de votre choix à la place."
18,13,5,—,4,4,3,3,3,2,1,1,—,—,,,
19,14,5,Druid Circle Feature,4,4,3,3,3,2,1,1,—,—,Subclass Feature.,Fonctionnalité du Cercle des Druides,Fonctionnalité de sous-classe.
20,15,5,—,4,4,3,3,3,2,1,1,1,—,,,
21,16,5,Ability Score Improvement,4,4,3,3,3,2,1,1,1,—,"When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can’t increase an ability score above 20 using this feature.Using the optional feats rule, you can forgo taking this feature to take a feat of your choice instead.",Amélioration du score de capacité,"Lorsque vous atteignez le niveau 4, puis à nouveau aux niveaux 8, 12, 16 et 19, vous pouvez augmenter une valeur de caractéristique de votre choix de 2, ou vous pouvez augmenter deux valeurs de caractéristique de votre choix de 1. Comme d'habitude, vous ne pouvez pas augmenter une valeur de caractéristique au-dessus de 20 en utilisant cette fonctionnalité. En utilisant la règle des dons facultatifs, vous pouvez renoncer à prendre cette fonctionnalité pour prendre un don de votre choix à la place."
22,17,6,—,4,4,3,3,3,2,1,1,1,1,,,
23,18,6,Timeless Body,4,4,3,3,3,3,1,1,1,1,"Starting at 18th level, the primal magic that you wield causes you to age more slowly. For every 10 years that pass, your body ages only 1 year.",Corps intemporel,"À partir du niveau 18, la magie primitive que vous utilisez vous fait vieillir plus lentement. Pour chaque tranche de 10 ans, votre corps ne vieillit que d'un an."
24,18,6,Beast Spells,4,4,3,3,3,3,1,1,1,1,"Beginning at 18th level, you can cast many of your druid spells in any shape you assume using Wild Shape. You can perform the somatic and verbal components of a druid spell while in a beast shape, but you aren’t able to provide material components.",Sorts de bêtes,"À partir du niveau 18, vous pouvez lancer la plupart de vos sorts de druide sous n'importe quelle forme en utilisant Forme sauvage. Vous pouvez exécuter les composantes somatiques et verbales d'un sort de druide sous une forme animale, mais vous ne pouvez pas fournir de composantes matérielles."
25,19,6,Ability Score Improvement,4,4,3,3,3,3,2,1,1,1,"When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can’t increase an ability score above 20 using this feature.Using the optional feats rule, you can forgo taking this feature to take a feat of your choice instead.",Amélioration du score de capacité,"Lorsque vous atteignez le niveau 4, puis à nouveau aux niveaux 8, 12, 16 et 19, vous pouvez augmenter une valeur de caractéristique de votre choix de 2, ou vous pouvez augmenter deux valeurs de caractéristique de votre choix de 1. Comme d'habitude, vous ne pouvez pas augmenter une valeur de caractéristique au-dessus de 20 en utilisant cette fonctionnalité. En utilisant la règle des dons facultatifs, vous pouvez renoncer à prendre cette fonctionnalité pour prendre un don de votre choix à la place."
26,20,6,Archdruid,4,4,3,3,3,3,2,2,1,1,"At 20th level, you can use your Wild Shape an unlimited number of times.Additionally, you can ignore the verbal and somatic components of your druid spells, as well as any material components that lack a cost and aren’t consumed by a spell. You gain this benefit in both your normal shape and your beast shape from Wild Shape.Source: Player's Handbook, Tasha's Cauldron of Everything",Archidruide,"Au niveau 20, vous pouvez utiliser votre Forme sauvage un nombre illimité de fois. De plus, vous pouvez ignorer les composantes verbales et somatiques de vos sorts de druide, ainsi que toutes les composantes matérielles qui n'ont pas de coût et ne sont pas consommées par un sort. Vous bénéficiez de cet avantage à la fois sous votre forme normale et sous votre forme bestiale grâce à Forme sauvage. Source : Manuel du joueur, Le chaudron de tout de Tasha"
