,Level,Proficiency Bonus,Features,Cantrips Known,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Features Texts,Capacites,Capacites Texts
10,10,4,Arcane Tradition Feature,5,4,3,3,3,2,—,—,—,—,Subclass Feature.,Fonctionnalité de la tradition arcanique,Fonctionnalité de sous-classe.
11,11,4,—,5,4,3,3,3,2,1,—,—,—,,,
12,12,4,Ability Score Improvement,5,4,3,3,3,2,1,—,—,—,"When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can’t increase an ability score above 20 using this feature.Using the optional feats rule, you can forgo taking this feature to take a feat of your choice instead.",Amélioration du score de capacité,"Lorsque vous atteignez le niveau 4, puis à nouveau aux niveaux 8, 12, 16 et 19, vous pouvez augmenter une valeur de caractéristique de votre choix de 2, ou vous pouvez augmenter deux valeurs de caractéristique de votre choix de 1. Comme d'habitude, vous ne pouvez pas augmenter une valeur de caractéristique au-dessus de 20 en utilisant cette fonctionnalité. En utilisant la règle des dons facultatifs, vous pouvez renoncer à prendre cette fonctionnalité pour prendre un don de votre choix à la place."
13,13,5,—,5,4,3,3,3,2,1,1,—,—,,,
14,14,5,Arcane Tradition Feature,5,4,3,3,3,2,1,1,—,—,Subclass Feature.,Fonctionnalité de la tradition arcanique,Fonctionnalité de sous-classe.
15,15,5,—,5,4,3,3,3,2,1,1,1,—,,,
16,16,5,Ability Score Improvement,5,4,3,3,3,2,1,1,1,—,"When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can’t increase an ability score above 20 using this feature.Using the optional feats rule, you can forgo taking this feature to take a feat of your choice instead.",Amélioration du score de capacité,"Lorsque vous atteignez le niveau 4, puis à nouveau aux niveaux 8, 12, 16 et 19, vous pouvez augmenter une valeur de caractéristique de votre choix de 2, ou vous pouvez augmenter deux valeurs de caractéristique de votre choix de 1. Comme d'habitude, vous ne pouvez pas augmenter une valeur de caractéristique au-dessus de 20 en utilisant cette fonctionnalité. En utilisant la règle des dons facultatifs, vous pouvez renoncer à prendre cette fonctionnalité pour prendre un don de votre choix à la place."
17,17,6,—,5,4,3,3,3,2,1,1,1,1,,,
18,18,6,Spell Mastery,5,4,3,3,3,3,1,1,1,1,"At 18th level, you have achieved such mastery over certain spells that you can cast them at will. Choose a 1st-level wizard spell and a 2nd-level wizard spell that are in your spellbook. You can cast those spells at their lowest level without expending a spell slot when you have them prepared. If you want to cast either spell at a higher level, you must expend a spell slot as normal.By spending 8 hours in study, you can exchange one or both of the spells you chose for different spells of the same levels.",Maîtrise des sorts,"Au niveau 18, vous maîtrisez certains sorts à tel point que vous pouvez les lancer à volonté. Choisissez un sort de magicien de niveau 1 et un sort de magicien de niveau 2 dans votre grimoire. Vous pouvez lancer ces sorts à leur niveau le plus bas sans dépenser d'emplacement de sort lorsque vous les avez préparés. Si vous souhaitez lancer l'un ou l'autre de ces sorts à un niveau supérieur, vous devez dépenser un emplacement de sort normalement. En consacrant 8 heures à l'étude, vous pouvez échanger l'un ou les deux sorts que vous avez choisis contre des sorts différents du même niveau."
19,19,6,Ability Score Improvement,5,4,3,3,3,3,2,1,1,1,"When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can’t increase an ability score above 20 using this feature.Using the optional feats rule, you can forgo taking this feature to take a feat of your choice instead.",Amélioration du score de capacité,"Lorsque vous atteignez le niveau 4, puis à nouveau aux niveaux 8, 12, 16 et 19, vous pouvez augmenter une valeur de caractéristique de votre choix de 2, ou vous pouvez augmenter deux valeurs de caractéristique de votre choix de 1. Comme d'habitude, vous ne pouvez pas augmenter une valeur de caractéristique au-dessus de 20 en utilisant cette fonctionnalité. En utilisant la règle des dons facultatifs, vous pouvez renoncer à prendre cette fonctionnalité pour prendre un don de votre choix à la place."
20,20,6,Signature Spells,5,4,3,3,3,3,2,2,1,1,"When you reach 20th level, you gain mastery over two powerful spells and can cast them with little effort. Choose two 3rd-level wizard spells in your spellbook as your signature spells. You always have these spells prepared, they don’t count against the number of spells you have prepared, and you can cast each of them once at 3rd level without expending a spell slot. When you do so, you can’t do so again until you finish a short or long rest.If you want to cast either spell at a higher level, you must expend a spell slot as normal.Source: Player's Handbook, Tasha's Cauldron of Everything",Sorts de signature,"Lorsque vous atteignez le niveau 20, vous maîtrisez deux sorts puissants et pouvez les lancer sans effort. Choisissez deux sorts de magicien de niveau 3 dans votre grimoire comme sorts de prédilection. Vous avez toujours ces sorts préparés, ils ne comptent pas dans le nombre de sorts que vous avez préparés et vous pouvez les lancer chacun une fois au niveau 3 sans dépenser d'emplacement de sort. Lorsque vous le faites, vous ne pouvez pas le faire à nouveau avant d'avoir terminé un repos court ou long. Si vous souhaitez lancer l'un ou l'autre sort à un niveau supérieur, vous devez dépenser un emplacement de sort normalement. Source : Manuel du joueur, Le chaudron de tout de Tasha"
