,Level,Proficiency Bonus,Features,Spells Known,1st,2nd,3rd,4th,5th,Features Texts,Capacites,Capacites Texts
10,6,3,Favored Enemy and Natural Explorer Improvements,4,4,2,—,—,—,,Améliorations de l'ennemi favori et de l'explorateur naturel,
11,7,3,Ranger Archetype Feature,5,4,3,—,—,—,Subclass Feature.,Fonctionnalité de l'archétype du Ranger,Fonctionnalité de sous-classe.
12,8,3,Ability Score Improvement,5,4,3,—,—,—,"When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can’t increase an ability score above 20 using this feature.Using the optional feats rule, you can forgo taking this feature to take a feat of your choice instead.",Amélioration du score de capacité,"Lorsque vous atteignez le niveau 4, puis à nouveau aux niveaux 8, 12, 16 et 19, vous pouvez augmenter une valeur de caractéristique de votre choix de 2, ou vous pouvez augmenter deux valeurs de caractéristique de votre choix de 1. Comme d'habitude, vous ne pouvez pas augmenter une valeur de caractéristique au-dessus de 20 en utilisant cette fonctionnalité. En utilisant la règle des dons facultatifs, vous pouvez renoncer à prendre cette fonctionnalité pour prendre un don de votre choix à la place."
13,8,3,Land’s Stride,5,4,3,—,—,—,"Starting at 8th level, moving through nonmagical difficult terrain costs you no extra movement. You can also pass through nonmagical plants without being slowed by them and without taking damage from them if they have thorns, spines, or a similar hazard.In addition, you have advantage on saving throws against plants that are magically created or manipulated to impede movement, such those created by the Entangle spell.",La foulée de la terre,"À partir du niveau 8, vous pouvez traverser des terrains non magiques difficiles sans vous déplacer davantage. Vous pouvez également traverser des plantes non magiques sans être ralenti par elles et sans subir de dégâts si elles sont dotées d'épines, de piquants ou d'un danger similaire. De plus, vous bénéficiez d'un avantage aux jets de sauvegarde contre les plantes créées ou manipulées par magie pour entraver vos déplacements, comme celles créées par le sort Enchevêtrement."
14,9,4,—,6,4,3,2,—,—,,,
15,10,4,Natural Explorer Improvement,6,4,3,2,—,—,,Amélioration de Natural Explorer,
16,10,4,Hide in Plain Sight,6,4,3,2,—,—,"Starting at 10th level, you can spend 1 minute creating camouflage for yourself. You must have access to fresh mud, dirt, plants, soot, and other naturally occurring materials with which to create your camouflage.Once you are camouflaged in this way, you can try to hide by pressing yourself up against a solid surface, such as a tree or wall, that is at least as tall and wide as you are. You gain a +10 bonus to Dexterity (Stealth) checks as long as you remain there without moving or taking actions. Once you move or take an action or a reaction, you must camouflage yourself again to gain this benefit.",Se cacher à la vue de tous,"À partir du niveau 10, vous pouvez passer 1 minute à créer votre camouflage. Vous devez avoir accès à de la boue fraîche, de la terre, des plantes, de la suie et d'autres matériaux naturels avec lesquels créer votre camouflage. Une fois que vous êtes camouflé de cette manière, vous pouvez essayer de vous cacher en vous appuyant contre une surface solide, comme un arbre ou un mur, qui est au moins aussi haut et large que vous. Vous obtenez un bonus de +10 aux tests de Dextérité (Discrétion) tant que vous restez là sans bouger ni entreprendre d'actions. Une fois que vous vous êtes déplacé ou avez effectué une action ou une réaction, vous devez vous camoufler à nouveau pour bénéficier de cet avantage."
17,10,4,Nature's Veil,6,4,3,2,—,—,"10th-level ranger feature, which replaces the Hide in Plain Sight feature
Optional Class Feature
You draw on the powers of nature to hide yourself from view briefly. As a bonus action, you can magically become invisible, along with any equipment you are wearing or carrying, until the start of your next turn.You can use this feature a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.",Le voile de la nature,"Capacité de ranger de niveau 10, qui remplace la capacité Se cacher à la vue de tous
Capacité de classe optionnelle
Vous faites appel aux pouvoirs de la nature pour vous cacher brièvement de la vue. En tant qu'action bonus, vous pouvez devenir invisible par magie, ainsi que tout équipement que vous portez ou transportez, jusqu'au début de votre prochain tour. Vous pouvez utiliser cette capacité un nombre de fois égal à votre bonus de maîtrise, et vous récupérez toutes les utilisations dépensées lorsque vous terminez un repos long."
18,11,4,Ranger Archetype Feature,7,4,3,3,—,—,Subclass Feature.,Fonctionnalité de l'archétype du Ranger,Fonctionnalité de sous-classe.
19,12,4,Ability Score Improvement,7,4,3,3,—,—,"When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can’t increase an ability score above 20 using this feature.Using the optional feats rule, you can forgo taking this feature to take a feat of your choice instead.",Amélioration du score de capacité,"Lorsque vous atteignez le niveau 4, puis à nouveau aux niveaux 8, 12, 16 et 19, vous pouvez augmenter une valeur de caractéristique de votre choix de 2, ou vous pouvez augmenter deux valeurs de caractéristique de votre choix de 1. Comme d'habitude, vous ne pouvez pas augmenter une valeur de caractéristique au-dessus de 20 en utilisant cette fonctionnalité. En utilisant la règle des dons facultatifs, vous pouvez renoncer à prendre cette fonctionnalité pour prendre un don de votre choix à la place."
20,13,5,—,8,4,3,3,1,—,,,
21,14,5,Favored Enemy Improvement,8,4,3,3,1,—,,Amélioration de l'ennemi juré,
22,14,5,Vanish,8,4,3,3,1,—,"Starting at 14th level, you can use the Hide action as a bonus action on your turn. Also, you can’t be tracked by nonmagical means, unless you choose to leave a trail.",Disparaître,"À partir du niveau 14, vous pouvez utiliser l'action Se cacher comme action bonus pendant votre tour. De plus, vous ne pouvez pas être suivi par des moyens non magiques, à moins que vous ne choisissiez de laisser une trace."
23,15,5,Ranger Archetype Feature,9,4,3,3,2,—,Subclass Feature.,Fonctionnalité de l'archétype du Ranger,Fonctionnalité de sous-classe.
24,16,5,Ability Score Improvement,9,4,3,3,2,—,"When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can’t increase an ability score above 20 using this feature.Using the optional feats rule, you can forgo taking this feature to take a feat of your choice instead.",Amélioration du score de capacité,"Lorsque vous atteignez le niveau 4, puis à nouveau aux niveaux 8, 12, 16 et 19, vous pouvez augmenter une valeur de caractéristique de votre choix de 2, ou vous pouvez augmenter deux valeurs de caractéristique de votre choix de 1. Comme d'habitude, vous ne pouvez pas augmenter une valeur de caractéristique au-dessus de 20 en utilisant cette fonctionnalité. En utilisant la règle des dons facultatifs, vous pouvez renoncer à prendre cette fonctionnalité pour prendre un don de votre choix à la place."
25,17,6,—,10,4,3,3,3,1,,,
26,18,6,Feral Senses,10,4,3,3,3,1,"At 18th level, you gain preternatural senses that help you fight creatures you can’t see. When you attack a creature you can’t see, your inability to see it doesn’t impose disadvantage on your attack rolls against it.You are also aware of the location of any invisible creature within 30 feet of you, provided that the creature isn’t hidden from you and you aren’t blinded or deafened.",Sens sauvages,"Au niveau 18, vous obtenez des sens surnaturels qui vous aident à combattre les créatures que vous ne pouvez pas voir. Lorsque vous attaquez une créature que vous ne pouvez pas voir, votre incapacité à la voir n'impose pas de désavantage à vos jets d'attaque contre elle. Vous êtes également conscient de l'emplacement de toute créature invisible à moins de 9 mètres de vous, à condition que la créature ne soit pas cachée à vos yeux et que vous ne soyez pas aveuglé ou assourdi."
27,19,6,Ability Score Improvement,11,4,3,3,3,2,"When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can’t increase an ability score above 20 using this feature.Using the optional feats rule, you can forgo taking this feature to take a feat of your choice instead.",Amélioration du score de capacité,"Lorsque vous atteignez le niveau 4, puis à nouveau aux niveaux 8, 12, 16 et 19, vous pouvez augmenter une valeur de caractéristique de votre choix de 2, ou vous pouvez augmenter deux valeurs de caractéristique de votre choix de 1. Comme d'habitude, vous ne pouvez pas augmenter une valeur de caractéristique au-dessus de 20 en utilisant cette fonctionnalité. En utilisant la règle des dons facultatifs, vous pouvez renoncer à prendre cette fonctionnalité pour prendre un don de votre choix à la place."
28,20,6,Foe Slayer,11,4,3,3,3,2,"At 20th level, you become an unparalleled hunter of your enemies. Once on each of your turns, you can add your Wisdom modifier to the attack roll or the damage roll of an attack you make against one of your favored enemies. You can choose to use this feature before or after the roll, but before any effects of the roll are applied.Source: Player's Handbook, Tasha's Cauldron of Everything",Tueur d'ennemis,"Au niveau 20, vous devenez un chasseur d'ennemis hors pair. Une fois à chacun de vos tours, vous pouvez ajouter votre modificateur de Sagesse au jet d'attaque ou au jet de dégâts d'une attaque que vous effectuez contre l'un de vos ennemis favoris. Vous pouvez choisir d'utiliser cette fonctionnalité avant ou après le jet, mais avant que les effets du jet ne soient appliqués. Source : Manuel du joueur, Le chaudron de tout de Tasha"
