,race,subrace,section,content,race FR,subrace FR,section FR,content FR,
8,aasimar,aasimar,Light Bearer,You know the Light cantrip. Charisma is your spellcasting ability for it.,aasimar,aasimar,Porteur de lumière,Vous connaissez le sort Lumière. Le Charisme est votre capacité à lancer des sorts pour ce sort.,
9,aasimar,aasimar,Languages,"You can speak, read, and write Common and Celestial.",aasimar,aasimar,Langues,"Vous pouvez parler, lire et écrire le commun et le céleste.",
10,aasimar,Angelic Guide,Ability Score Increase,Your Charisma score increases by 2.,aasimar,Guide angélique,Augmentation du score de capacité,Votre score de Charisme augmente de 2.,
11,aasimar,Angelic Guide,Age,"Aasimar mature at the same rate as humans, but they can live up to 160 years.",aasimar,Guide angélique,Âge,"Les Aasimars mûrissent au même rythme que les humains, mais ils peuvent vivre jusqu'à 160 ans.",
12,aasimar,Angelic Guide,Alignment,"Imbued with celestial power, most aasimar are good. Outcast aasimar are most often neutral or even evil.",aasimar,Guide angélique,Alignement,"Imprégnés de pouvoirs célestes, la plupart des Aasimars sont bons. Les Aasimars exclus sont le plus souvent neutres, voire mauvais.",
13,aasimar,Angelic Guide,Size,"Aasimar have the same range of height and weight as humans. Your height is 4'8"" with a modifier of +2d10. Your weight is 110 lbs. with a modifier of +(height roll) x 2d4.",aasimar,Guide angélique,Taille,"Les Aasimars ont la même taille et le même poids que les humains. Votre taille est de 1,43 m avec un modificateur de +2d10. Votre poids est de 50 kg avec un modificateur de +(test de taille) x 2d4.",
14,aasimar,Angelic Guide,Speed,Your base walking speed is 30 feet.,aasimar,Guide angélique,Vitesse,Votre vitesse de marche de base est de 30 pieds.,
15,aasimar,Angelic Guide,Darkvision,"Blessed with a radiant soul, your vision can easily cut through darkness. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.",aasimar,Guide angélique,Vision dans le noir,"Doté d'une âme rayonnante, votre vision peut facilement traverser l'obscurité. Vous pouvez voir dans la pénombre à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une lumière tamisée. Vous ne pouvez pas discerner les couleurs dans l'obscurité, seulement les nuances de gris.",
16,aasimar,Angelic Guide,Celestial Resistance,You have resistance to necrotic damage and radiant damage.,aasimar,Guide angélique,Résistance céleste,Vous avez une résistance aux dégâts nécrotiques et aux dégâts radiants.,
17,aasimar,Angelic Guide,Healing Hands,"As an action, you can touch a creature and cause it to regain a number of hit points equal to your level. Once you use this trait, you can't use it again until you finish a long rest.",aasimar,Guide angélique,Mains guérisseuses,"Par une action, vous pouvez toucher une créature et lui faire regagner un nombre de points de vie égal à votre niveau. Une fois que vous avez utilisé cette aptitude, vous ne pouvez plus l'utiliser avant d'avoir terminé un repos long.",
18,aasimar,Angelic Guide,Light Bearer,You know the Light cantrip. Charisma is your spellcasting ability for it.,aasimar,Guide angélique,Porteur de lumière,Vous connaissez le sort Lumière. Le Charisme est votre capacité à lancer des sorts pour ce sort.,
19,aasimar,Angelic Guide,Languages,"You can speak, read, and write Common and Celestial.",aasimar,Guide angélique,Langues,"Vous pouvez parler, lire et écrire le commun et le céleste.",
20,aasimar,Angelic Guide,,"
d6
Nature


1
Bookish and lecturing


2
Compassionate and hopeful


3
Practical and lighthearted


4
Fierce and vengeful


5
Stern and judgmental


6
Kind and parental

",aasimar,Guide angélique,,"d6
Nature

1
Livre et sermonneur

2
Compassionné et plein d'espoir

3
Pratique et léger

4
Féroce et vindicatif

5
Sévère et moralisateur

6
Aimant et parental",
21,aasimar,Protector,Ability Score Increase,Your Wisdom score increases by 1.,aasimar,Protecteur,Augmentation du score de capacité,Votre score de Sagesse augmente de 1.,
22,aasimar,Protector,Age,"Aasimar mature at the same rate as humans, but they can live up to 160 years.",aasimar,Protecteur,Âge,"Les Aasimars mûrissent au même rythme que les humains, mais ils peuvent vivre jusqu'à 160 ans.",
23,aasimar,Protector,Alignment,"Imbued with celestial power, most aasimar are good. Outcast aasimar are most often neutral or even evil.",aasimar,Protecteur,Alignement,"Imprégnés de pouvoirs célestes, la plupart des Aasimars sont bons. Les Aasimars exclus sont le plus souvent neutres, voire mauvais.",
24,aasimar,Protector,Size,"Aasimar have the same range of height and weight as humans. Your height is 4'8"" with a modifier of +2d10. Your weight is 110 lbs. with a modifier of +(height roll) x 2d4.",aasimar,Protecteur,Taille,"Les Aasimars ont la même taille et le même poids que les humains. Votre taille est de 1,43 m avec un modificateur de +2d10. Votre poids est de 50 kg avec un modificateur de +(test de taille) x 2d4.",
25,aasimar,Protector,Speed,Your base walking speed is 30 feet.,aasimar,Protecteur,Vitesse,Votre vitesse de marche de base est de 30 pieds.,
26,aasimar,Protector,Darkvision,"Blessed with a radiant soul, your vision can easily cut through darkness. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.",aasimar,Protecteur,Vision dans le noir,"Doté d'une âme rayonnante, votre vision peut facilement traverser l'obscurité. Vous pouvez voir dans la pénombre à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une lumière tamisée. Vous ne pouvez pas discerner les couleurs dans l'obscurité, seulement les nuances de gris.",
27,aasimar,Protector,Celestial Resistance,You have resistance to necrotic damage and radiant damage.,aasimar,Protecteur,Résistance céleste,Vous avez une résistance aux dégâts nécrotiques et aux dégâts radiants.,
28,aasimar,Protector,Healing Hands,"As an action, you can touch a creature and cause it to regain a number of hit points equal to your level. Once you use this trait, you can't use it again until you finish a long rest.",aasimar,Protecteur,Mains guérisseuses,"Par une action, vous pouvez toucher une créature et lui faire regagner un nombre de points de vie égal à votre niveau. Une fois que vous avez utilisé cette aptitude, vous ne pouvez plus l'utiliser avant d'avoir terminé un repos long.",
29,aasimar,Protector,Light Bearer,You know the Light cantrip. Charisma is your spellcasting ability for it.,aasimar,Protecteur,Porteur de lumière,Vous connaissez le sort Lumière. Le Charisme est votre capacité à lancer des sorts pour ce sort.,
30,aasimar,Protector,Languages,"You can speak, read, and write Common and Celestial.",aasimar,Protecteur,Langues,"Vous pouvez parler, lire et écrire le commun et le céleste.",
31,aasimar,Protector,,"
d6
Nature


1
Bookish and lecturing


2
Compassionate and hopeful


3
Practical and lighthearted


4
Fierce and vengeful


5
Stern and judgmental


6
Kind and parental

",aasimar,Protecteur,,"d6
Nature

1
Livre et sermonneur

2
Compassionné et plein d'espoir

3
Pratique et léger

4
Féroce et vindicatif

5
Sévère et moralisateur

6
Aimant et parental",
32,aasimar,Protector,Radiant Soul,"Starting at 3rd level, you can use your action to unleash the divine energy within yourself, causing your eyes to glimmer and two luminous, incorporeal wings to sprout from your back.",aasimar,Protecteur,Âme rayonnante,"À partir du niveau 3, vous pouvez utiliser votre action pour libérer l'énergie divine en vous, faisant scintiller vos yeux et pousser deux ailes lumineuses et incorporelles dans votre dos.",
33,aasimar,Scourge,Ability Score Increase,Your Constitution score increases by 1.,aasimar,Fléau,Augmentation du score de capacité,Votre score de Constitution augmente de 1.,
34,aasimar,Scourge,Age,"Aasimar mature at the same rate as humans, but they can live up to 160 years.",aasimar,Fléau,Âge,"Les Aasimars mûrissent au même rythme que les humains, mais ils peuvent vivre jusqu'à 160 ans.",
35,aasimar,Scourge,Alignment,"Imbued with celestial power, most aasimar are good. Outcast aasimar are most often neutral or even evil.",aasimar,Fléau,Alignement,"Imprégnés de pouvoirs célestes, la plupart des Aasimars sont bons. Les Aasimars exclus sont le plus souvent neutres, voire mauvais.",
36,aasimar,Scourge,Size,"Aasimar have the same range of height and weight as humans. Your height is 4'8"" with a modifier of +2d10. Your weight is 110 lbs. with a modifier of +(height roll) x 2d4.",aasimar,Fléau,Taille,"Les Aasimars ont la même taille et le même poids que les humains. Votre taille est de 1,43 m avec un modificateur de +2d10. Votre poids est de 50 kg avec un modificateur de +(test de taille) x 2d4.",
37,aasimar,Scourge,Speed,Your base walking speed is 30 feet.,aasimar,Fléau,Vitesse,Votre vitesse de marche de base est de 30 pieds.,
38,aasimar,Scourge,Darkvision,"Blessed with a radiant soul, your vision can easily cut through darkness. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.",aasimar,Fléau,Vision dans le noir,"Doté d'une âme rayonnante, votre vision peut facilement traverser l'obscurité. Vous pouvez voir dans la pénombre à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une lumière tamisée. Vous ne pouvez pas discerner les couleurs dans l'obscurité, seulement les nuances de gris.",
39,aasimar,Scourge,Celestial Resistance,You have resistance to necrotic damage and radiant damage.,aasimar,Fléau,Résistance céleste,Vous avez une résistance aux dégâts nécrotiques et aux dégâts radiants.,
40,aasimar,Scourge,Healing Hands,"As an action, you can touch a creature and cause it to regain a number of hit points equal to your level. Once you use this trait, you can't use it again until you finish a long rest.",aasimar,Fléau,Mains guérisseuses,"Par une action, vous pouvez toucher une créature et lui faire regagner un nombre de points de vie égal à votre niveau. Une fois que vous avez utilisé cette aptitude, vous ne pouvez plus l'utiliser avant d'avoir terminé un repos long.",
41,aasimar,Scourge,Light Bearer,You know the Light cantrip. Charisma is your spellcasting ability for it.,aasimar,Fléau,Porteur de lumière,Vous connaissez le sort Lumière. Le Charisme est votre capacité à lancer des sorts pour ce sort.,
42,aasimar,Scourge,Languages,"You can speak, read, and write Common and Celestial.",aasimar,Fléau,Langues,"Vous pouvez parler, lire et écrire le commun et le céleste.",
43,aasimar,Scourge,,"
d6
Nature


1
Bookish and lecturing


2
Compassionate and hopeful


3
Practical and lighthearted


4
Fierce and vengeful


5
Stern and judgmental


6
Kind and parental

",aasimar,Fléau,,"d6
Nature

1
Livre et sermonneur

2
Compassionné et plein d'espoir

3
Pratique et léger

4
Féroce et vindicatif

5
Sévère et moralisateur

6
Aimant et parental",
44,aasimar,Scourge,Radiant Soul,"Starting at 3rd level, you can use your action to unleash the divine energy within yourself, causing your eyes to glimmer and two luminous, incorporeal wings to sprout from your back.",aasimar,Fléau,Âme rayonnante,"À partir du niveau 3, vous pouvez utiliser votre action pour libérer l'énergie divine en vous, faisant scintiller vos yeux et pousser deux ailes lumineuses et incorporelles dans votre dos.",
45,aasimar,Scourge,Radiant Consumption,"Starting at 3rd level, you can use your action to unleash the divine energy within yourself, causing a searing light to radiate from you, pour out of your eyes and mouth, and threaten to char you.",aasimar,Fléau,Consommation radiante,"À partir du niveau 3, vous pouvez utiliser votre action pour libérer l'énergie divine en vous, provoquant l'émission d'une lumière brûlante provenant de vous, jaillissant de vos yeux et de votre bouche, et menaçant de vous carboniser.",
46,aasimar,Fallen,Ability Score Increase,Your Strength score increases by 1.,aasimar,Déchu,Augmentation du score de capacité,Votre score de Force augmente de 1.,
47,aasimar,Fallen,Age,"Aasimar mature at the same rate as humans, but they can live up to 160 years.",aasimar,Déchu,Âge,"Les Aasimars mûrissent au même rythme que les humains, mais ils peuvent vivre jusqu'à 160 ans.",
48,aasimar,Fallen,Alignment,"Imbued with celestial power, most aasimar are good. Outcast aasimar are most often neutral or even evil.",aasimar,Déchu,Alignement,"Imprégnés de pouvoirs célestes, la plupart des Aasimars sont bons. Les Aasimars exclus sont le plus souvent neutres, voire mauvais.",
49,aasimar,Fallen,Size,"Aasimar have the same range of height and weight as humans. Your height is 4'8"" with a modifier of +2d10. Your weight is 110 lbs. with a modifier of +(height roll) x 2d4.",aasimar,Déchu,Taille,"Les Aasimars ont la même taille et le même poids que les humains. Votre taille est de 1,43 m avec un modificateur de +2d10. Votre poids est de 50 kg avec un modificateur de +(test de taille) x 2d4.",
50,aasimar,Fallen,Speed,Your base walking speed is 30 feet.,aasimar,Déchu,Vitesse,Votre vitesse de marche de base est de 30 pieds.,
51,aasimar,Fallen,Darkvision,"Blessed with a radiant soul, your vision can easily cut through darkness. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.",aasimar,Déchu,Vision dans le noir,"Doté d'une âme rayonnante, votre vision peut facilement traverser l'obscurité. Vous pouvez voir dans la pénombre à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une lumière tamisée. Vous ne pouvez pas discerner les couleurs dans l'obscurité, seulement les nuances de gris.",
52,aasimar,Fallen,Celestial Resistance,You have resistance to necrotic damage and radiant damage.,aasimar,Déchu,Résistance céleste,Vous avez une résistance aux dégâts nécrotiques et aux dégâts radiants.,
53,aasimar,Fallen,Healing Hands,"As an action, you can touch a creature and cause it to regain a number of hit points equal to your level. Once you use this trait, you can't use it again until you finish a long rest.",aasimar,Déchu,Mains guérisseuses,"Par une action, vous pouvez toucher une créature et lui faire regagner un nombre de points de vie égal à votre niveau. Une fois que vous avez utilisé cette aptitude, vous ne pouvez plus l'utiliser avant d'avoir terminé un repos long.",
54,aasimar,Fallen,Light Bearer,You know the Light cantrip. Charisma is your spellcasting ability for it.,aasimar,Déchu,Porteur de lumière,Vous connaissez le sort Lumière. Le Charisme est votre capacité à lancer des sorts pour ce sort.,
55,aasimar,Fallen,Languages,"You can speak, read, and write Common and Celestial.",aasimar,Déchu,Langues,"Vous pouvez parler, lire et écrire le commun et le céleste.",
56,aasimar,Fallen,,"
d6
Nature


1
Bookish and lecturing


2
Compassionate and hopeful


3
Practical and lighthearted


4
Fierce and vengeful


5
Stern and judgmental


6
Kind and parental

",aasimar,Déchu,,"d6
Nature

1
Livre et sermonneur

2
Compassionné et plein d'espoir

3
Pratique et léger

4
Féroce et vindicatif

5
Sévère et moralisateur

6
Aimant et parental",
57,aasimar,Fallen,Radiant Soul,"Starting at 3rd level, you can use your action to unleash the divine energy within yourself, causing your eyes to glimmer and two luminous, incorporeal wings to sprout from your back.",aasimar,Déchu,Âme rayonnante,"À partir du niveau 3, vous pouvez utiliser votre action pour libérer l'énergie divine en vous, faisant scintiller vos yeux et pousser deux ailes lumineuses et incorporelles dans votre dos.",
58,aasimar,Fallen,Radiant Consumption,"Starting at 3rd level, you can use your action to unleash the divine energy within yourself, causing a searing light to radiate from you, pour out of your eyes and mouth, and threaten to char you.",aasimar,Déchu,Consommation radiante,"À partir du niveau 3, vous pouvez utiliser votre action pour libérer l'énergie divine en vous, provoquant l'émission d'une lumière brûlante provenant de vous, jaillissant de vos yeux et de votre bouche, et menaçant de vous carboniser.",
59,aasimar,Fallen,Necrotic Shroud,"Starting at 3rd level, you can use your action to unleash the divine energy within yourself, causing your eyes to turn into pools of darkness and two skeletal, ghostly, flightless wings to sprout from your back. The instant you transform, other creatures within 10 feet of you that can see you must succeed on a Charisma saving throw (DC 8 + your proficiency bonus + your Charisma modifier) or become frightened of you until the end of your next turn.",aasimar,Déchu,Linceul nécrotique,"À partir du niveau 3, vous pouvez utiliser votre action pour libérer l'énergie divine qui sommeille en vous, transformant vos yeux en flaques de ténèbres et faisant surgir dans votre dos deux ailes squelettiques, fantomatiques et incapables de voler. Dès l'instant où vous vous transformez, les autres créatures situées à 3 mètres ou moins de vous et qui peuvent vous voir doivent réussir un jet de sauvegarde de Charisme (DD 8 + votre bonus de maîtrise + votre modificateur de Charisme) ou avoir peur de vous jusqu'à la fin de votre prochain tour.",
60,aasimar,Variant Aasimar,Ability Score Increase,"Your Wisdom score increases by 1, and your Charisma score increases by 2.",aasimar,Variante Aasimar,Augmentation du score de capacité,Votre score de Sagesse augmente de 1 et votre score de Charisme augmente de 2.,
61,aasimar,Variant Aasimar,Age,Aasimar mature at the same rate as humans but live a few years longer.,aasimar,Variante Aasimar,Âge,Les Aasimars mûrissent au même rythme que les humains mais vivent quelques années de plus.,
62,aasimar,Variant Aasimar,Alignment,"Due to their celestial heritage, aasimar are often good. However, some aasimar fall into evil, rejecting their heritage.",aasimar,Variante Aasimar,Alignement,"En raison de leur héritage céleste, les Aasimars sont souvent bons. Cependant, certains Aasimars tombent dans le mal et rejettent leur héritage.",
63,aasimar,Variant Aasimar,Size,Aasimar are built like well-proportioned humans. Your size is Medium.,aasimar,Variante Aasimar,Taille,Les Aasimars sont construits comme des humains bien proportionnés. Votre taille est M.,
64,aasimar,Variant Aasimar,Speed,our base walking speed is 30 feet.,aasimar,Variante Aasimar,Vitesse,notre vitesse de marche de base est de 30 pieds.,
65,aasimar,Variant Aasimar,Darkvision,"Thanks to your celestial heritage, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.",aasimar,Variante Aasimar,Vision dans le noir,"Grâce à votre héritage céleste, vous avez une vision supérieure dans l'obscurité et dans des conditions de faible luminosité. Vous pouvez voir dans une faible luminosité à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive, et dans l'obscurité comme s'il s'agissait d'une faible luminosité. Vous ne pouvez pas distinguer les couleurs dans l'obscurité, seulement les nuances de gris.",
66,aasimar,Variant Aasimar,Celestial Resistance,You have resistance to necrotic damage and radiant damage.,aasimar,Variante Aasimar,Résistance céleste,Vous avez une résistance aux dégâts nécrotiques et aux dégâts radiants.,
67,aasimar,Variant Aasimar,Healing Hands,"As an action, you can touch a creature and cause it to regain a number of hit points equal to your level. Once you use this trait, you can't use it again until you finish a long rest.",aasimar,Variante Aasimar,Mains guérisseuses,"Par une action, vous pouvez toucher une créature et lui faire regagner un nombre de points de vie égal à votre niveau. Une fois que vous avez utilisé cette aptitude, vous ne pouvez plus l'utiliser avant d'avoir terminé un repos long.",
68,aasimar,Variant Aasimar,Light Bearer,You know the Light cantrip. Charisma is your spellcasting ability for it.,aasimar,Variante Aasimar,Porteur de lumière,Vous connaissez le sort Lumière. Le Charisme est votre capacité à lancer des sorts pour ce sort.,
69,aasimar,Variant Aasimar,Languages,"You can speak, read, and write Common and Celestial.",aasimar,Variante Aasimar,Langues,"Vous pouvez parler, lire et écrire le commun et le céleste.",
70,aasimar,Variant Aasimar,,"Aasimar should make effective clerics and paladins.
Aasimar should be to celestials and humans what tieflings are to fiends and humans.
",aasimar,Variante Aasimar,,"Les Aasimars devraient être des prêtres et des paladins efficaces.
Les Aasimars devraient être aux célestes et aux humains ce que les tieffelins sont aux démons et aux humains.",
71,aasimar,Variant Aasimar,Radiant Soul,"Starting at 3rd level, you can use your action to unleash the divine energy within yourself, causing your eyes to glimmer and two luminous, incorporeal wings to sprout from your back.",aasimar,Variante Aasimar,Âme rayonnante,"À partir du niveau 3, vous pouvez utiliser votre action pour libérer l'énergie divine en vous, faisant scintiller vos yeux et pousser deux ailes lumineuses et incorporelles dans votre dos.",
72,aasimar,Variant Aasimar,Radiant Consumption,"Starting at 3rd level, you can use your action to unleash the divine energy within yourself, causing a searing light to radiate from you, pour out of your eyes and mouth, and threaten to char you.",aasimar,Variante Aasimar,Consommation radiante,"À partir du niveau 3, vous pouvez utiliser votre action pour libérer l'énergie divine en vous, provoquant l'émission d'une lumière brûlante provenant de vous, jaillissant de vos yeux et de votre bouche, et menaçant de vous carboniser.",
73,aasimar,Variant Aasimar,Necrotic Shroud,"Starting at 3rd level, you can use your action to unleash the divine energy within yourself, causing your eyes to turn into pools of darkness and two skeletal, ghostly, flightless wings to sprout from your back. The instant you transform, other creatures within 10 feet of you that can see you must succeed on a Charisma saving throw (DC 8 + your proficiency bonus + your Charisma modifier) or become frightened of you until the end of your next turn.",aasimar,Variante Aasimar,Linceul nécrotique,"À partir du niveau 3, vous pouvez utiliser votre action pour libérer l'énergie divine qui sommeille en vous, transformant vos yeux en flaques de ténèbres et faisant surgir dans votre dos deux ailes squelettiques, fantomatiques et incapables de voler. Dès l'instant où vous vous transformez, les autres créatures situées à 3 mètres ou moins de vous et qui peuvent vous voir doivent réussir un jet de sauvegarde de Charisme (DD 8 + votre bonus de maîtrise + votre modificateur de Charisme) ou avoir peur de vous jusqu'à la fin de votre prochain tour.",
74,aasimar,Variant Aasimar,Celestial Legacy,"You know the Light cantrip. Once you reach 3rd level, you can cast the Lesser Restoration spell once with this trait, and you regain the ability to do so when you finish a long rest. Once you reach 5th level, you can cast the Daylight spell once with this trait as a 3rd-level spell, and you regain the ability to do so when you finish a long rest. Charisma is your spellcasting ability for these spells.",aasimar,Variante Aasimar,Héritage céleste,"Vous connaissez le sort Lumière. Une fois que vous avez atteint le niveau 3, vous pouvez lancer le sort Restauration mineure une fois avec ce trait, et vous récupérez la capacité de le faire lorsque vous terminez un repos long. Une fois que vous avez atteint le niveau 5, vous pouvez lancer le sort Lumière du jour une fois avec ce trait en tant que sort de niveau 3, et vous récupérez la capacité de le faire lorsque vous terminez un repos long. Le Charisme est votre capacité de lancement de sorts pour ces sorts.",
75,aasimar,Aasimar MPMM,Ability Score Increase,"Your Wisdom score increases by 1, and your Charisma score increases by 2.",aasimar,Aasimar MPMM,Augmentation du score de capacité,Votre score de Sagesse augmente de 1 et votre score de Charisme augmente de 2.,
76,aasimar,Aasimar MPMM,Age,Aasimar mature at the same rate as humans but live a few years longer.,aasimar,Aasimar MPMM,Âge,Les Aasimars mûrissent au même rythme que les humains mais vivent quelques années de plus.,
77,aasimar,Aasimar MPMM,Alignment,"Due to their celestial heritage, aasimar are often good. However, some aasimar fall into evil, rejecting their heritage.",aasimar,Aasimar MPMM,Alignement,"En raison de leur héritage céleste, les Aasimars sont souvent bons. Cependant, certains Aasimars tombent dans le mal et rejettent leur héritage.",
78,aasimar,Aasimar MPMM,Size,You are Medium or Small. You choose the size when you select this race.,aasimar,Aasimar MPMM,Taille,Vous êtes de taille Medium ou Small. Vous choisissez la taille lorsque vous sélectionnez cette race.,
79,aasimar,Aasimar MPMM,Speed,30 ft.,aasimar,Aasimar MPMM,Vitesse,30 pieds,
80,aasimar,Aasimar MPMM,Darkvision,You can see in dim light within 60 feet of you as if it were bright light and in darkness as if it were dim light. You discern colors in that darkness only as shades of gray.,aasimar,Aasimar MPMM,Vision dans le noir,"Vous pouvez voir dans la pénombre à moins de 18 mètres de vous comme s'il s'agissait d'une lumière vive et dans l'obscurité comme s'il s'agissait d'une lumière tamisée. Dans cette obscurité, vous ne discernez les couleurs que sous forme de nuances de gris.",
