,background,source,skills,background FR,source FR,tools,languages,equipement text,description,tools FR,languages FR,equipement text FR,description FR
20,Criminal Baldur’s Gate,Criminal Contact ,"[' Deception', 'Stealth']",La porte du criminel Baldur,Contact criminel,"One type of gaming set, thieves' tools",None,"A Crowbar, a set of dark common clothes including a hood, and a belt pouch containing 15 gp","
No career criminal in Baldur's Gate operates without being aware of the Guild. Some studiously keep a low profile, carrying just the occasional smuggled load in with legitimate merchandise, or only breaking knees when it can plausibly be claimed as an act of personal revenge. Others join up with crews for protection, or with the Guild itself. A few former Guild members have been cast out of the organization due to incompetence or after offending a more powerful member, and now shuffle for scraps to survive.
","Un type d'ensemble de jeu, les outils des voleurs",Aucun,"Un pied de biche, un ensemble de vêtements sombres communs comprenant une capuche et une pochette de ceinture contenant 15 po","Aucun criminel de carrière à Baldur's Gate n'agit sans connaître la Guilde. Certains restent soigneusement discrets, ne transportant que de temps en temps une cargaison de contrebande avec de la marchandise légitime, ou ne brisant des genoux que lorsque cela peut être considéré comme un acte de vengeance personnelle. D'autres rejoignent des équipages pour se protéger, ou rejoignent la Guilde elle-même. Quelques anciens membres de la Guilde ont été chassés de l'organisation en raison de leur incompétence ou après avoir offensé un membre plus puissant, et se battent désormais pour survivre."
21,Criminal Myriad Operative,Criminal Contact ,"[' Deception', 'Stealth']",Agent de la Myriade criminelle,Contact criminel,"One type of gaming set, thieves' tools",None,"A Crowbar, a set of dark common clothes including a hood, and a belt pouch containing 15 gp","
Most criminals in Wildemount are petty thieves and cutpurses who operate out of desperation. You, however, are a criminal of a higher caliber. You are a member of the Myriad, the greatest crime syndicate to ever grace the face of Exandria. You have a network of criminal contacts and allies to help you in your crimes-but you also have rivals and superiors that would gladly throw you to the wolves to save their own skins.
The Myriad has bases of operation in every major city outside Eastern Wynandir, even if those bases are made up of only two or three members. Wherever you find the Myriad, you can find temporary shelter from the law for a price.
","Un type d'ensemble de jeu, les outils des voleurs",Aucun,"Un pied de biche, un ensemble de vêtements sombres communs comprenant une capuche et une pochette de ceinture contenant 15 po","La plupart des criminels de Wildemount sont des petits voleurs et des voleurs à la tire qui agissent par désespoir. Mais vous êtes un criminel d'un calibre supérieur. Vous êtes membre de la Myriade, le plus grand syndicat du crime à avoir jamais existé en Exandria. Vous disposez d'un réseau de contacts et d'alliés criminels pour vous aider dans vos crimes, mais vous avez également des rivaux et des supérieurs qui vous jetteraient volontiers aux loups pour sauver leur peau. 
La Myriade a des bases d'opérations dans toutes les grandes villes en dehors de l'Est de Wynandir, même si ces bases ne sont constituées que de deux ou trois membres. Où que vous trouviez la Myriade, vous pouvez trouver un abri temporaire contre rémunération."
22,Dimir Operative,False Identity ,"[' Deception', 'Stealth']",Opératrice Dimir,Fausse identité,Disguise kit,One of your choice,"A Dimir insignia, three small knives, a set of dark-colored common clothes, and the starting equipment of the background described in this chapter for your secondary guild","
House Dimir is Ravnica's dark secret: behind a facade of respectable messengers and reporters lurks an association of spies and assassins whose existence is barely suspected by the populace at large. Secrecy is both House Dimir's best weapon and its best defense, and much of the guild's work is hidden even from other members. Dimir agents leave no trace of their covert activities, warping the memories of witnesses to their crimes and even wiping their own minds to remove any evidence of th eir completed assignments.
The first guild master of House Dimir was a vampire named Szadek, whose organization agreed to serve as Ravnica's couriers, information brokers, and librarians. But Szadek also used his guild's expertise at gathering information to build a vast spy network, and before long, the secret operations of the guild vastly outweighed its overt ones. Eventually the guild disappeared into the shadows, and most Ravnicans came to doubt its existence. An immortal entity, Szadek ruled the guild for ten thousand years until he was arrested and killed in the turmoil of the Decamillennial Celebration.
Alignment: Usually neutral, sometimes evil
Suggested Races: Half-elf, Human
Suggested Classes: Monk, Rogue, Wizard
If the following sentences describe you, you might enjoy playing a character who belongs to House Dimir:

You love subterfuge, intrigue, and deception.
You like to play rogues, spies, and assassins.
The idea of stealing thoughts instead of treasure has a special appeal to you.
You want to deceive your fellow players without necessarily betraying them.

Overview
You're a spy. Secrets and misinformation are your stock in trade. You skulk in the shadows, infiltrate other guilds, and steal the most precious secrets, whether they're written in locked journals or hidden away in someone's mind. Even you might not be aware of all the reasons behind the missions you carry out. Sometimes a mission's sole purpose is to conceal the motivation behind another strike performed in a different part of the city, or simply to spread fear.
As part of your covert work for House Dimir, you maintain a false identity as a member of another guild. You can choose your secondary guild or roll to determine it randomly. This secondary guild membership determines a portion of your starting equipment and is also where most of your contacts come from. You infiltrate your secondary guild to learn its secrets, keep tabs on its activities, or perhaps undermine it from within.
",Kit de déguisement,Un de vos choix,"Un insigne Dimir, trois petits couteaux, un ensemble de vêtements communs de couleur sombre et l'équipement de départ de l'arrière-plan décrit dans ce chapitre pour votre guilde secondaire","La Maison Dimir est le sombre secret de Ravnica : derrière une façade de messagers et de reporters respectables se cache une association d'espions et d'assassins dont l'existence est à peine suspectée par la population en général. Le secret est à la fois la meilleure arme et la meilleure défense de la Maison Dimir, et une grande partie du travail de la guilde est cachée même aux autres membres. Les agents de Dimir ne laissent aucune trace de leurs activités secrètes, déformant les souvenirs des témoins de leurs crimes et effaçant même leur propre esprit pour effacer toute trace de leurs missions accomplies. 
Le premier maître de guilde de la Maison Dimir était un vampire nommé Szadek, dont l'organisation accepta de servir de coursier, de courtier en informations et de bibliothécaire pour Ravnica. Mais Szadek utilisa également l'expertise de sa guilde en matière de collecte d'informations pour construire un vaste réseau d'espionnage, et en peu de temps, les opérations secrètes de la guilde surpassèrent largement celles qui étaient visibles. Finalement, la guilde disparut dans l'ombre, et la plupart des Ravnicans en vinrent à douter de son existence. Entité immortelle, Szadek a dirigé la guilde pendant dix mille ans jusqu'à ce qu'il soit arrêté et tué dans la tourmente de la célébration du Décamillénaire.
Alignement : Généralement neutre, parfois maléfique
Races suggérées : Demi-elfe, Humain
Classes suggérées : Moine, Voleur, Sorcier
Si les phrases suivantes vous décrivent, vous aimerez peut-être jouer un personnage appartenant à la Maison Dimir :

Vous aimez le subterfuge, l'intrigue et la tromperie.
Vous aimez jouer les voleurs, les espions et les assassins.
L'idée de voler des pensées plutôt que des trésors vous plaît particulièrement.
Vous voulez tromper vos camarades joueurs sans nécessairement les trahir.

Présentation
Vous êtes un espion. Les secrets et la désinformation sont votre fonds de commerce. Vous vous cachez dans l'ombre, infiltrez d'autres guildes et volez les secrets les plus précieux, qu'ils soient écrits dans des journaux verrouillés ou cachés dans l'esprit de quelqu'un. Même vous n'êtes peut-être pas au courant de toutes les raisons qui se cachent derrière les missions que vous effectuez. Parfois, le seul but d'une mission est de dissimuler les motivations d'une autre attaque menée dans une autre partie de la ville, ou simplement de répandre la peur.
Dans le cadre de votre travail secret pour la Maison Dimir, vous conservez une fausse identité en tant que membre d'une autre guilde. Vous pouvez choisir votre guilde secondaire ou faire un jet de dés pour la déterminer au hasard. Cette appartenance à une guilde secondaire détermine une partie de votre équipement de départ et est également la source de la plupart de vos contacts. Vous infiltrez votre guilde secondaire pour découvrir ses secrets, surveiller ses activités ou peut-être la saper de l'intérieur."
23,Entertainer,By Popular Demand ,"[' Acrobatics', 'Performance']",Artiste,À la demande générale,"Disguise kit, one type of musical instrument",None,"A Musical Instrument (one of your choice), the favor of an admirer (love letter, lock of hair, or trinket), a Costume, and a belt pouch containing 15 gp","
You thrive in front of an audience. You know how to entrance them, entertain them, and even inspire them. Your poetics can stir the hearts of those who hear you, awakening grief or joy, laughter or anger. Your music raises their spirits or captures their sorrow. Your dance steps captivate, your humor cuts to the quick. Whatever techniques you use, your art is your life.
","Kit de déguisement, un type d'instrument de musique",Aucun,"Un instrument de musique (de votre choix), la faveur d'un admirateur (lettre d'amour, mèche de cheveux ou bibelot), un costume et une pochette de ceinture contenant 15 po","Vous excellez devant un public. Vous savez captiver, divertir et même inspirer. Votre poésie peut émouvoir le cœur de ceux qui vous écoutent, réveiller le chagrin ou la joie, le rire ou la colère. Votre musique leur remonte le moral ou capture leur chagrin. Vos pas de danse captivent, votre humour touche au vif. Quelles que soient les techniques que vous utilisez, votre art est votre vie."
24,Entertainer Baldur’s Gate,By Popular Demand ,"[' Acrobatics', 'Performance']",L'artiste Baldur's Gate,À la demande générale,"Disguise kit, one type of musical instrument",None,"A Musical Instrument (one of your choice), the favor of an admirer (love letter, lock of hair, or trinket), a Costume, and a belt pouch containing 15 gp","
From the Oasis Theater's spectacular singers and acrobats to the pantomimes and shadow puppeteers of the Wide, Baldur's Gate hosts a colorful array of performers. Good acts can always find ready audiences, and the constant flow of travelers means that both new spectators and new spectacles are always passing through.
","Kit de déguisement, un type d'instrument de musique",Aucun,"Un instrument de musique (de votre choix), la faveur d'un admirateur (lettre d'amour, mèche de cheveux ou bibelot), un costume et une pochette de ceinture contenant 15 po","Des chanteurs et acrobates spectaculaires du Théâtre Oasis aux pantomimes et aux marionnettistes d'ombres du Wide, Baldur's Gate accueille une panoplie colorée d'artistes. Les bons spectacles trouvent toujours un public prêt, et le flux constant de voyageurs signifie que de nouveaux spectateurs et de nouveaux spectacles passent toujours."
25,Faceless,Dual Personalities ,"[' Deception', 'Intimidation']",Sans visage,Personnalités doubles,Disguise kit,One of your choice,"A Disguise kit, a Costume, a pouch containing 10 gp","
Being who you are, you could never be a hero. Whether due to your class, your people, your family, or your sins, something about you prevents you from effectively pursuing the path you've chosen. Even so, that doesn't stop you. You've left your old face behind, taking on a new persona, becoming something more. Characters with the faceless background don a disguise-literally or otherwise- as they adventure. This persona might be dramatic or subtle. In a way, though, many characters have such larger than life personalities. Therefore, this background largely focuses on detailing the hero behind the mask.
",Kit de déguisement,Un de vos choix,"Un kit de déguisement, un costume, une pochette contenant 10 po","Étant qui vous êtes, vous ne pourrez jamais être un héros. Que ce soit à cause de votre classe sociale, de votre peuple, de votre famille ou de vos péchés, quelque chose en vous vous empêche de poursuivre efficacement le chemin que vous avez choisi. Malgré tout, cela ne vous arrête pas. Vous avez laissé votre ancien visage derrière vous, adoptant une nouvelle personnalité, devenant quelque chose de plus. Les personnages avec un arrière-plan sans visage se déguisent - littéralement ou autrement - au cours de leurs aventures. Ce personnage peut être dramatique ou subtil. D'une certaine manière, cependant, de nombreux personnages ont des personnalités plus grandes que nature. Par conséquent, cet arrière-plan se concentre principalement sur les détails du héros derrière le masque."
26,Faction Agent,Safe Haven ,"[' Insight', 'Arcana', 'History', 'Investigation', 'Nature', 'Religion', 'Animal Handling', 'Insight', 'Medicine', 'Perception', 'Survival', 'Deception', 'Intimidation', 'Performance', 'Persuasion']",Agent de faction,Havre de sécurité,None,Two of your choice,"Badge or emblem of your faction, a copy of a seminal faction text (or a code-book for a covert faction), a set of Common Clothes, and a pouch containing 15 gp","
Many organizations active in the North and across the face of Faerûn aren't bound by strictures of geography. These factions pursue their agendas without regard for political boundaries, and their members operate anywhere the organization deems necessary. These groups employ listeners, rumormongers, smugglers, sellswords, cache-holders (people who guard caches of wealth or magic for use by the faction's operatives), haven keepers, and message drop minders, to name a few. At the core of every faction are those who don't merely fulfill a small function for that organization, but who serve as its hands, head, and heart.
As a prelude to your adventuring career (and in preparation for it), you served as an agent of a particular faction in Faerûn. You might have operated openly or secretly, depending on the faction and its goals, as well as how those goals mesh with your own. Becoming an adventurer doesn't necessarily require you to relinquish membership in your faction (though you can choose to do so), and it might enhance your status in the faction.
",Aucun,Deux de votre choix,"Un badge ou un emblème de votre faction, une copie d'un texte fondateur de faction (ou un livre de codes pour une faction secrète), un ensemble de vêtements communs et une bourse contenant 15 po","De nombreuses organisations actives dans le Nord et à travers Faerûn ne sont pas limitées par des contraintes géographiques. Ces factions poursuivent leurs objectifs sans tenir compte des frontières politiques et leurs membres opèrent partout où l'organisation le juge nécessaire. Ces groupes emploient des auditeurs, des colporteurs de rumeurs, des contrebandiers, des mercenaires, des détenteurs de caches (des personnes qui gardent des caches de richesses ou de magie destinées aux agents de la faction), des gardiens de refuge et des gardiens de messages, pour n'en citer que quelques-uns. Au cœur de chaque faction se trouvent ceux qui ne se contentent pas de remplir une petite fonction pour cette organisation, mais qui lui servent de mains, de tête et de cœur. 
En guise de prélude à votre carrière d'aventurier (et en préparation à celle-ci), vous avez servi comme agent d'une faction particulière de Faerûn. Vous avez pu opérer ouvertement ou secrètement, selon la faction et ses objectifs, ainsi que la façon dont ces objectifs s'articulent avec les vôtres. Devenir un aventurier ne vous oblige pas nécessairement à renoncer à votre appartenance à votre faction (même si vous pouvez choisir de le faire), et cela peut améliorer votre statut au sein de la faction."
27,Failed Merchant,Supply Chain ,"[' Investigation', 'Persuasion']",Marchand en faillite,Chaîne d'approvisionnement,One type of artisan's tools,Any one of your choice,"One set of Artisan's Tools, Merchant's Scale, a set of Fine Clothes, and a belt pouch containing 10 gp","
Maybe you come from a long line of merchants. Perhaps you were an entrepreneur. Regardless. your ventures ended poorly. Whether it was because of outside influences, bad luck, or simply because your business acumen was weak, you lost everything.
With failure, however. comes experience. You're free of that old life, having made some connections and learned your lessons. Prepared to pursue the life of an adventurer, your insight into the world of commerce brought you into the sphere of Acquisitions Incorporated- and a franchise just might be in your future.
",Un type d'outils d'artisan,N'importe lequel de votre choix,"Un ensemble d'outils d'artisan, une balance de marchand, un ensemble de beaux vêtements et une pochette de ceinture contenant 10 po","Peut-être venez-vous d'une longue lignée de commerçants. Peut-être étiez-vous un entrepreneur. Quoi qu'il en soit, vos entreprises se sont mal terminées. Que ce soit à cause d'influences extérieures, de malchance ou simplement parce que votre sens des affaires était faible, vous avez tout perdu. 
L'échec, cependant, vient l'expérience. Vous êtes libéré de cette ancienne vie, après avoir noué des relations et appris vos leçons. Prêt à poursuivre la vie d'un aventurier, votre connaissance du monde du commerce vous a amené dans la sphère d'Acquisitions Incorporated - et une franchise pourrait bien être dans votre avenir."
28,Far Traveler,All Eyes on You ,"[' Insight', 'Perception']",Voyageur lointain,Tous les yeux sur toi,"Any one musical instrument or gaming set of your choice, likely something native to your homeland",Any one of your choice,"One set of Traveler's Clothes, any one Musical Instrument or Gaming Set you are proficient with, poorly wrought maps from your homeland that depict where you are in Faerûn, a small piece of jewelry worth 10 gp in the style of your homeland's craftsmanship, and a pouch containing 5 gp","
Almost all of the common people and other folk that one might encounter along the Sword Coast or in the North have one thing in common: they live out their lives without ever traveling more than a few miles from where they were born.
You aren't one of those folk.
You are from a distant place, one so remote that few of the common folk in the North realize that it exists, and chances are good that even if some people you meet have heard of your homeland, they know merely the name and perhaps a few outrageous stories. You have come to this part of Faerûn for your own reasons, which you might or might not choose to share.
Although you will undoubtedly find some of this land's ways to be strange and discomfiting, you can also be sure that some things its people take for granted will be to you new wonders that you've never laid eyes on before. By the same token, you're a person of interest, for good or ill, to those around you almost anywhere you go.
","N'importe quel instrument de musique ou jeu de votre choix, probablement quelque chose originaire de votre pays d'origine",N'importe lequel de votre choix,"Un ensemble de vêtements de voyageur, un instrument de musique ou un jeu que vous maîtrisez, des cartes mal conçues de votre pays d'origine qui montrent où vous vous trouvez à Faerûn, un petit bijou d'une valeur de 10 po dans le style de l'artisanat de votre pays d'origine et une bourse contenant 5 po","Presque tous les gens ordinaires et autres personnes que l'on peut rencontrer le long de la Côte des Épées ou dans le Nord ont un point commun : ils vivent leur vie sans jamais voyager à plus de quelques kilomètres de leur lieu de naissance. 
Vous n'êtes pas l'un de ces gens. 
Vous venez d'un endroit lointain, si éloigné que peu de gens du Nord se rendent compte de son existence, et il y a de fortes chances que même si certaines personnes que vous rencontrez ont entendu parler de votre pays d'origine, elles n'en connaissent que le nom et peut-être quelques histoires scandaleuses. Vous êtes venu dans cette partie de Faerûn pour vos propres raisons, que vous pouvez choisir ou non de partager. 
Bien que vous trouviez sans aucun doute certaines des manières de ce pays étranges et déconcertantes, vous pouvez également être sûr que certaines choses que ses habitants tiennent pour acquises seront pour vous de nouvelles merveilles que vous n'aviez jamais vues auparavant. De la même manière, vous êtes une personne intéressante, pour le meilleur ou pour le pire, pour ceux qui vous entourent presque partout où vous allez."
29,Feylost,Feywild Connection ,"[' Deception', 'Survival']",Feylost,Connexion Feywild,One type of musical instrument,"One of your choice of Elvish, Gnomish, Goblin, or Sylvan","A musical instrument (one of your choice), a set of traveler's clothes, three trinkets (each determined by rolling on the Feywild Trinkets table), and a pouch containing 8 gp","
You grew up in the Feywild after disappearing from your home plane as a child. Perhaps you were spirited away by kindly Fey who thought you were destined for great things. Perhaps you stumbled through a fey crossing by chance during a twilight stroll in the woods. Perhaps you were kidnapped by evil Fey but escaped from their clutches. Whatever the manner of your disappearance, you gradually fell under the Feywild's spell and learned a little about the nature of the mercurial tricksters that dwell there.
When you finally returned to your home plane, you did not come back unchanged. You are haunted by the fact that the Feywild—a mirror world hidden behind a mere twist of perception—is only a hair's breadth away. Although your memories of the Feywild grow fainter with each passing day, your heart swells with a mixture of fear and joy at the prospect of one day venturing back to the Plane of Faerie—your home away from home.
",Un type d'instrument de musique,"L'un de vos choix parmi les elfiques, les gnomes, les gobelins ou les sylvestres","Un instrument de musique (de votre choix), un ensemble de vêtements de voyageur, trois bibelots (chacun déterminé en lançant le dé sur la table des bibelots de Feywild) et une bourse contenant 8 po","Vous avez grandi dans le Feywild après avoir disparu de votre plan d'origine alors que vous étiez enfant. Peut-être avez-vous été enlevé par des Fey bienveillantes qui pensaient que vous étiez destiné à de grandes choses. Peut-être êtes-vous tombé par hasard sur un passage de Fey lors d'une promenade crépusculaire dans les bois. Peut-être avez-vous été kidnappé par des Fey maléfiques mais vous êtes-vous échappé de leurs griffes. Quelle que soit la manière dont vous avez disparu, vous êtes progressivement tombé sous le charme du Feywild et avez appris un peu sur la nature des filous lunatiques qui y vivent. 
Quand vous êtes finalement revenu sur votre plan d'origine, vous n'êtes pas revenu inchangé. Vous êtes hanté par le fait que le Feywild, un monde miroir caché derrière une simple distorsion de perception, n'est qu'à un cheveu de distance. Bien que vos souvenirs du Feywild s'estompent de jour en jour, votre cœur se gonfle d'un mélange de peur et de joie à la perspective de vous aventurer un jour de nouveau sur le Plan des Fées, votre foyer loin de chez vous."
30,Fisher,Harvest the Water ,"[' History', 'Survival']",Pêcheur,Récolter l'eau,None,One of your choice,"Fishing Tackle, a net, a favorite fishing lure or oiled leather wading boots, a set of Traveler's Clothes, and a belt pouch containing 10 gp","
You have spent your life aboard fishing vessels or combing the shallows for the bounty of the ocean. Perhaps you were born into a family of fisher folk, working with your kin to feed your village. Maybe the job was a means to an end- a way out of an undesirable circumstance that forced you to take up life aboard a ship. Regardless of how you began, you soon fell in love with the sea, the art of fishing, and the promise of the eternal horizon.
",Aucun,Un de vos choix,"Matériel de pêche, un filet, un leurre de pêche préféré ou des bottes de pêche en cuir huilé, un ensemble de vêtements de voyageur et une pochette de ceinture contenant 10 po","Vous avez passé votre vie à bord de bateaux de pêche ou à fouiller les eaux peu profondes à la recherche des richesses de l'océan. Peut-être êtes-vous né dans une famille de pêcheurs, travaillant avec vos proches pour nourrir votre village. Peut-être ce travail était-il un moyen d'arriver à une fin, un moyen de vous sortir d'une situation indésirable qui vous a forcé à accepter la vie à bord d'un navire. Quelle que soit la façon dont vous avez commencé, vous êtes rapidement tombé amoureux de la mer, de l'art de la pêche et de la promesse d'un horizon éternel."
31,Folk Hero,Rustic Hospitality ,"[' Animal Handling', 'Survival']",Héros populaire,Hospitalité rustique,"One type of artisan's tools, vehicles (land)",None,"A set of Artisan's Tools (one of your choice), a Shovel, an Iron Pot, a set of Common Clothes, and a belt pouch containing 10 gp","
You come from a humble social rank, but you are destined for so much more. Already the people of your home village regard you as their champion, and your destiny calls you to stand against the tyrants and monsters that threaten the common folk everywhere.
","Un type d'outils d'artisan, véhicules (terrestres)",Aucun,"Un ensemble d'outils d'artisan (un de votre choix), une pelle, un pot en fer, un ensemble de vêtements communs et une pochette de ceinture contenant 10 po","Vous venez d'un rang social modeste, mais vous êtes destiné à bien plus que cela. Les habitants de votre village natal vous considèrent déjà comme leur champion, et votre destin vous appelle à vous dresser contre les tyrans et les monstres qui menacent les gens du commun partout dans le monde."
32,Folk Hero Baldur’s Gate,Rustic Hospitality ,"[' Animal Handling', 'Survival']",La porte du héros populaire Baldur,Hospitalité rustique,"One type of artisan's tools, vehicles (land)",None,"A set of Artisan's Tools (one of your choice), a Shovel, an Iron Pot, a set of Common Clothes, and a belt pouch containing 10 gp","
Baldur's Gate is a city badly in need of heroes. and every so often, one rises from among its own. Ordinary people who rise to greatness are beloved in local history. but the popular imagination can turn on such champions almost as quickly as it anoints them.
","Un type d'outils d'artisan, véhicules (terrestres)",Aucun,"Un ensemble d'outils d'artisan (un de votre choix), une pelle, un pot en fer, un ensemble de vêtements communs et une pochette de ceinture contenant 10 po","Baldur's Gate est une ville qui a désespérément besoin de héros. Et de temps à autre, l'un d'entre eux surgit du sein de la ville. Les gens ordinaires qui atteignent la grandeur sont appréciés dans l'histoire locale. Mais l'imagination populaire peut se retourner contre de tels champions presque aussi vite qu'elle les sacre."
33,Gambler,Never Tell Me the Odds ,"[' Deception', 'Insight']",Joueur,Ne me dites jamais les probabilités,One gaming set,Any one of your choice,"One Gaming Set, a lucky charm, a set of Fine Clothes, and a belt pouch containing 15 gp","
All you need to make a lot of gold is a little gold. Except at those times when all you need to have no gold at all is a little gold. Whether you're a good gambler or a bad one rarely matters, because no one can divine the whims of Lady Luck. Sometimes you're up, sometimes you're down. But the thing about gambling is that someone is always willing to take a bet.
",Un ensemble de jeu,N'importe lequel de votre choix,"Un ensemble de jeu, un porte-bonheur, un ensemble de beaux vêtements et une pochette de ceinture contenant 15 po","Pour gagner beaucoup d'or, il suffit d'un peu d'or. Sauf dans les moments où il suffit de ne pas avoir d'or du tout, c'est un peu d'or. Que vous soyez un bon ou un mauvais joueur importe rarement, car personne ne peut deviner les caprices de Dame Chance. Parfois, vous êtes en haut, parfois en bas. Mais le truc avec le jeu, c'est qu'il y a toujours quelqu'un prêt à prendre un pari."
34,Gate Warden,Planar Infusion ,"[' Persuasion', 'Survival']",Gardien de la porte,Infusion planaire,,"Two of your choice (Abyssal, Celestial, or Infernal recommended)","A ring of keys to unknown locks, a blank book, an ink pen or quill, a bottle of black ink, a set of traveler's clothes, and a pouch containing 10 gp","
You spent a significant amount of time somewhere influenced by intense planar forces or a portal to another plane of existence, such as one of the gatetowns in the Outlands. You're accustomed to experiences that would leave others reeling in terror or enraptured by otherworldly beauty, and you're as comfortable dealing with Celestials and Fiends as you are with the vendors in town (who might be one and the same).
",,"Deux de votre choix (Abyssal, Celestial ou Infernal recommandés)","Un trousseau de clés pour des serrures inconnues, un livre vierge, un stylo à encre ou une plume, une bouteille d'encre noire, un ensemble de vêtements de voyageur et une bourse contenant 10 po","Vous avez passé une bonne partie de votre temps dans un endroit influencé par des forces planaires intenses ou par un portail vers un autre plan d'existence, comme l'une des villes-portes des Terres Lointaines. Vous êtes habitué à des expériences qui laisseraient les autres terrifiés ou ravis par une beauté surnaturelle, et vous êtes aussi à l'aise avec les Célestes et les Démons qu'avec les vendeurs en ville (qui peuvent être une seule et même personne)."
35,Grey Hunter,Grey Hunter ,"[' Athletics', 'Perception', 'Survival']",Chasseur gris,Chasseur gris,,One of your choice,"Your choice of a musket or a pistol, a set of common clothes, and a pouch containing 10 gp","
You trained with the elite forces charged with the defense and protection of the isolated city-state of Whitestone, with much of that training focused on how to care for, protect, and safeguard the firearms that are the weapons of the Whitestone Rifle Corps. You are also entrusted with a solemn duty—to never let the secrets of your liege-lord's deadly creations fall into the wrong hands.
You might have come to Whitestone to prove yourself worthy of wielding the secretive and highly coveted firearms created there, and to seek instruction from warriors who have mastered those weapons. Or you might have grown up in Whitestone, perhaps even remembering the brutal days when Lord and Lady Briarwood ruled your homeland—a reign that began some thirty years ago and lasted for six harrowing years.
Alternatively, you or your parents might have come to Whitestone as refugees fleeing the destruction of the Chroma Conclave's attack on Tal'Dorei. If so, your life in the city-state might have been a relatively peaceful one, dwelling among the engineers, artisans, and merchants seeking to capitalize upon Whitestone's reputation as an up-and-coming center of trade, culture, and invention.
When you choose this background, decide whether you were a member of the Rifle Corps, the Pale Guard, or the Grey Hunters. The ""Whitestone"" section in chapter 3 has more information about the Pale Guard, as well as the armaments and militia in the city-state. See below for more information on the Grey Hunters.
",,Un de vos choix,"Votre choix entre un mousquet ou un pistolet, un ensemble de vêtements communs et une bourse contenant 10 po","Vous avez été formé au sein des forces d'élite chargées de la défense et de la protection de la cité-État isolée de Whitestone, et une grande partie de cette formation a porté sur la façon de prendre soin, de protéger et de sauvegarder les armes à feu qui sont les armes du Corps des Fusiliers de Whitestone. Vous êtes également investi d'un devoir solennel : ne jamais laisser les secrets des créations mortelles de votre suzerain tomber entre de mauvaises mains. 
Vous êtes peut-être venu à Whitestone pour prouver que vous êtes digne de manier les armes à feu secrètes et très convoitées qui y ont été créées, et pour demander des instructions aux guerriers qui maîtrisent ces armes. Ou vous avez peut-être grandi à Whitestone, vous souvenant peut-être même des jours brutaux où Lord et Lady Briarwood dirigeaient votre patrie - un règne qui a commencé il y a une trentaine d'années et a duré six années pénibles. 
Il se peut également que vous ou vos parents soyez venus à Whitestone en tant que réfugiés fuyant la destruction causée par l'attaque du Conclave de Chroma sur Tal'Dorei. Si tel est le cas, votre vie dans la cité-État a dû être relativement paisible, vivant parmi les ingénieurs, les artisans et les marchands cherchant à capitaliser sur la réputation de Whitestone en tant que centre de commerce, de culture et d'invention en plein essor.
Lorsque vous choisissez ce contexte, décidez si vous étiez membre du Corps des fusiliers, de la Garde pâle ou des Chasseurs gris. La section « Whitestone » du chapitre 3 contient plus d'informations sur la Garde pâle, ainsi que sur l'armement et la milice de la cité-État. Voir ci-dessous pour plus d'informations sur les Chasseurs gris."
36,Grounded,Find Another Path ,"[' Athletics', 'Insight']",Fondé,Trouver un autre chemin,One type of Artisan’s Tools,One of your choice,"A set of Artisan’s Tools (one of your choice), a walking stick, a trinket from another culture, traveling clothes, and a belt pouch with 5 gp","
Despite the inherent vertical aspects of birdfolk culture, you have always felt safer and more at peace with your feet firmly planted on the soil. You are practical and level-headed, but due to your different perspective on the world, other birdfolk see you as quirky or unsettling. Your unique insight allows you to connect with the humblefolk who live under the forest canopy in ways perch-dwelling birdfolk cannot.
",Un type d’outils d’artisan,Un de vos choix,"Un ensemble d'outils d'artisan (un de votre choix), une canne, un bibelot d'une autre culture, des vêtements de voyage et une pochette de ceinture avec 5 po","Malgré les aspects verticaux inhérents à la culture des oiseaux, vous vous êtes toujours senti plus en sécurité et plus en paix avec vos pieds fermement ancrés dans le sol. Vous êtes pratique et équilibré, mais en raison de votre perspective différente sur le monde, les autres oiseaux vous considèrent comme bizarre ou dérangeant. Votre perspicacité unique vous permet de vous connecter avec les humbles gens qui vivent sous la canopée de la forêt d'une manière dont les oiseaux perchés ne peuvent pas le faire."
